"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"140005 Alto Alegre";-;-;-;-;-;-;-;3;-;-;-;-;3
"140002 Amajari";3;1;-;-;-;-;-;-;-;-;-;1;5
"140010 Boa Vista";4;7;10;4;3;7;5;11;5;11;9;4;80
"140015 Bonfim";-;-;-;-;-;1;1;1;-;-;-;-;3
"140017 Cantá";1;1;-;-;-;-;2;4;6;1;1;-;16
"140020 Caracaraí";-;-;-;-;1;1;-;5;-;-;-;-;7
"140023 Caroebe";1;7;32;4;1;-;1;-;-;-;-;-;46
"140028 Iracema";-;-;-;-;-;1;-;1;-;-;-;-;2
"140030 Mucajaí";3;-;1;-;-;1;2;1;-;-;-;-;8
"140047 Rorainópolis";-;-;-;-;-;-;-;-;2;-;-;2;4
"140050 São João da Baliza";-;-;1;2;2;1;7;11;4;3;-;2;33
"Total";12;16;44;10;7;12;18;37;17;15;10;9;207
