DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2014
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;1;-;-;1;1;-;-;-;3
"110037 Alto Alegre dos Parecis";-;4;-;-;-;-;-;-;-;-;-;-;1;5
"110040 Alto Paraíso";-;8;3;2;-;1;1;-;-;1;1;-;1;18
"110034 Alvorada D'Oeste";-;-;3;3;-;3;2;1;1;-;2;6;4;25
"110002 Ariquemes";-;11;19;8;6;5;1;-;1;3;2;-;5;61
"110045 Buritis";-;-;4;5;1;-;-;-;-;-;-;2;1;13
"110003 Cabixi";-;-;-;3;-;-;2;-;-;-;-;1;2;8
"110060 Cacaulândia";-;-;-;-;1;4;-;-;-;-;1;-;-;6
"110004 Cacoal";-;3;5;11;8;-;1;1;-;-;1;1;4;35
"110070 Campo Novo de Rondônia";-;5;1;-;1;-;-;-;3;4;27;153;17;211
"110080 Candeias do Jamari";-;-;1;-;-;-;2;1;-;-;-;1;1;6
"110005 Cerejeiras";-;1;2;-;-;2;1;-;1;1;-;-;-;8
"110092 Chupinguaia";-;-;2;-;1;-;-;1;-;-;-;-;-;4
"110006 Colorado do Oeste";-;1;2;-;-;-;-;-;-;-;-;-;-;3
"110007 Corumbiara";-;3;-;-;-;-;-;1;-;-;-;-;-;4
"110008 Costa Marques";-;43;39;16;11;-;-;-;-;-;-;-;4;113
"110094 Cujubim";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"110009 Espigão D'Oeste";-;2;-;2;-;1;-;-;-;-;1;-;-;6
"110010 Guajará-Mirim";-;1;2;3;-;12;2;-;2;1;1;-;1;25
"110110 Itapuã do Oeste";-;-;-;-;-;-;1;2;5;3;4;10;1;26
"110011 Jaru";-;2;1;13;7;16;1;-;-;1;-;1;-;42
"110012 Ji-Paraná";-;2;-;-;-;-;-;-;-;-;1;-;-;3
"110013 Machadinho D'Oeste";-;4;35;16;7;7;5;2;1;2;-;1;2;82
"110120 Ministro Andreazza";-;-;-;-;2;-;-;-;-;-;-;-;-;2
"110130 Mirante da Serra";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"110140 Monte Negro";-;-;-;1;1;-;-;-;-;1;-;-;1;4
"110014 Nova Brasilândia D'Oeste";-;1;3;1;9;9;2;-;-;-;-;-;-;25
"110033 Nova Mamoré";-;-;-;3;-;-;-;-;-;-;-;-;1;4
"110143 Nova União";-;3;4;-;-;-;-;-;-;-;-;-;-;7
"110050 Novo Horizonte do Oeste";-;1;3;3;4;-;1;-;1;-;1;-;-;14
"110015 Ouro Preto do Oeste";-;6;5;8;5;4;5;2;2;-;2;1;4;44
"110145 Parecis";-;-;2;1;-;-;1;-;1;-;-;-;-;5
"110020 Porto Velho";-;4;6;45;32;31;24;11;5;17;22;53;16;266
"110025 Presidente Médici";-;1;1;2;1;2;-;-;1;-;1;1;-;10
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"110026 Rio Crespo";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"110028 Rolim de Moura";-;9;14;15;3;4;1;-;1;-;-;1;21;69
"110029 Santa Luzia D'Oeste";-;-;-;3;1;1;-;-;-;-;-;-;2;7
"110148 São Felipe D'Oeste";-;4;14;6;6;2;2;7;-;-;-;1;-;42
"110149 São Francisco do Guaporé";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"110150 Seringueiras";-;5;9;4;-;-;-;-;-;-;-;-;-;18
"110170 Urupá";-;3;-;-;-;-;-;-;-;1;-;31;29;64
"110030 Vilhena";-;3;1;4;2;1;3;3;3;2;3;2;8;35
"120001 Acrelândia";-;2;-;1;-;-;-;1;-;-;-;-;-;4
"120005 Assis Brasil";-;-;2;-;1;-;-;-;-;-;-;-;1;4
"120010 Brasiléia";-;-;-;-;1;-;-;-;-;-;-;-;1;2
"120013 Bujari";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"120017 Capixaba";-;-;4;-;-;-;1;-;-;-;-;-;-;5
"120020 Cruzeiro do Sul";-;78;31;99;252;345;396;551;2150;7189;7426;5248;2809;26574
"120030 Feijó";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"120033 Mâncio Lima";-;-;-;-;-;1;-;-;1;4;8;6;2;22
"120035 Marechal Thaumaturgo";-;-;-;-;-;-;-;-;-;-;3;-;-;3
"120080 Porto Acre";-;1;1;-;1;5;1;-;-;1;-;1;1;12
"120039 Porto Walter";-;-;-;-;-;-;-;-;-;-;1;2;-;3
"120040 Rio Branco";-;96;95;92;72;37;16;17;20;15;39;26;61;586
"120042 Rodrigues Alves";-;-;-;-;-;-;1;1;-;4;4;4;2;16
"120043 Santa Rosa do Purus";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"120050 Sena Madureira";-;1;-;-;-;-;2;-;-;1;2;-;-;6
"120045 Senador Guiomard";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"120060 Tarauacá";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"120070 Xapuri";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130002 Alvarães";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"130006 Amaturá";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"130010 Anori";-;2;9;9;4;1;-;-;-;-;-;2;-;27
"130014 Apuí";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"130040 Barcelos";-;-;-;-;-;-;-;-;1;3;-;-;-;4
"130060 Benjamin Constant";-;1;-;-;-;-;-;-;-;-;1;-;-;2
"130070 Boca do Acre";-;1;-;-;-;-;-;-;-;-;1;-;-;2
"130080 Borba";-;7;8;19;6;1;1;1;1;-;-;-;-;44
"130083 Caapiranga";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"130110 Careiro";-;-;-;1;-;3;-;-;-;1;-;-;-;5
"130120 Coari";-;26;6;17;24;51;8;16;5;1;-;-;7;161
"130130 Codajás";-;1;-;-;-;-;1;-;-;-;-;-;-;2
"130165 Guajará";-;-;-;-;1;-;1;17;65;65;22;33;54;258
"130170 Humaitá";-;34;18;4;1;-;-;-;-;-;-;-;4;61
"130180 Ipixuna";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"130185 Iranduba";-;-;-;-;-;1;-;-;-;-;-;1;-;2
