DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2017
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130260 Manaus";-;151;43;26;31;23;9;5;5;6;2;10;17;328
"130280 Maraã";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"130290 Maués";-;10;5;16;1;1;3;-;-;-;-;-;2;38
"130310 Nova Olinda do Norte";-;-;1;1;-;-;-;-;1;-;-;-;-;3
"130320 Novo Airão";-;-;1;4;-;-;-;-;-;-;-;-;-;5
"130330 Novo Aripuanã";-;2;17;-;-;-;1;-;-;1;-;-;-;21
"130340 Parintins";-;-;1;8;5;6;-;-;-;-;-;-;-;20
"130380 São Gabriel da Cachoeira";-;17;2;2;8;3;-;7;4;6;4;2;6;61
"130406 Tabatinga";-;1;7;1;3;9;3;5;-;-;-;1;-;30
"130410 Tapauá";-;8;-;1;-;-;-;-;-;-;-;-;-;9
"130420 Tefé";-;8;3;10;19;19;16;14;34;42;38;62;35;300
"140005 Alto Alegre";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"140010 Boa Vista";-;9;8;12;17;25;20;12;13;3;5;1;4;129
"140015 Bonfim";-;-;-;-;-;1;2;-;-;-;-;-;1;4
"140017 Cantá";-;-;-;-;-;-;-;2;1;1;-;-;-;4
"140020 Caracaraí";-;-;-;1;4;2;-;-;-;-;-;-;-;7
"140023 Caroebe";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"140028 Iracema";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"140047 Rorainópolis";-;-;1;-;-;1;-;2;-;-;-;-;-;4
"140050 São João da Baliza";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"140060 São Luiz";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150010 Abaetetuba";-;9;6;2;3;5;6;41;45;9;3;5;3;137
"150013 Abel Figueiredo";-;1;2;-;1;2;-;-;-;-;-;-;-;6
"150030 Afuá";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"150034 Água Azul do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150040 Alenquer";-;9;6;9;8;4;1;2;-;-;-;-;2;41
"150050 Almeirim";-;-;-;2;1;-;-;-;-;-;-;-;-;3
"150060 Altamira";-;-;5;2;-;-;-;-;-;-;-;-;-;7
"150080 Ananindeua";-;-;-;-;1;1;-;-;1;-;-;-;-;3
"150085 Anapu";-;280;124;1;-;-;-;-;-;-;-;-;7;412
"150090 Augusto Corrêa";-;-;-;-;-;1;-;-;-;-;-;-;-;1
