DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2015
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;1;-;-;-;-;-;-;-;3;6;10
"110037 Alto Alegre dos Parecis";-;1;2;1;-;-;-;-;-;-;1;2;2;9
"110040 Alto Paraíso";-;1;1;-;-;1;-;-;-;-;-;-;1;4
"110034 Alvorada D'Oeste";-;7;6;9;3;4;2;3;-;1;-;-;-;35
"110002 Ariquemes";-;9;3;4;4;3;-;-;-;-;1;-;1;25
"110045 Buritis";-;2;-;-;-;-;-;-;1;-;-;-;4;7
"110003 Cabixi";-;1;1;3;41;32;14;-;-;-;-;6;14;112
"110060 Cacaulândia";-;-;3;9;-;-;-;-;-;-;-;-;-;12
"110004 Cacoal";-;3;2;3;8;10;-;3;-;-;-;2;14;45
"110070 Campo Novo de Rondônia";-;6;1;3;-;-;2;-;-;-;1;1;16;30
"110080 Candeias do Jamari";-;1;-;-;6;5;3;2;-;-;4;15;1;37
"110090 Castanheiras";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"110005 Cerejeiras";-;3;5;6;6;3;4;2;4;1;4;1;6;45
"110092 Chupinguaia";-;3;5;4;26;-;-;1;-;-;-;-;-;39
"110006 Colorado do Oeste";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"110007 Corumbiara";-;2;8;3;1;-;1;-;-;-;-;-;-;15
"110008 Costa Marques";-;-;1;3;3;-;-;-;-;-;-;-;-;7
"110009 Espigão D'Oeste";-;1;2;3;6;2;-;4;18;28;14;20;87;185
"110010 Guajará-Mirim";-;-;3;-;-;2;-;-;-;-;3;1;1;10
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;-;-;1;1;-;1;3
"110011 Jaru";-;-;-;3;2;-;1;-;-;-;-;1;3;10
"110012 Ji-Paraná";-;2;-;3;1;-;-;-;-;2;3;-;-;11
"110013 Machadinho D'Oeste";-;-;1;1;3;-;-;2;1;-;2;4;4;18
"110120 Ministro Andreazza";-;-;-;1;-;4;1;-;-;7;33;9;4;59
"110140 Monte Negro";-;5;1;-;3;-;-;-;-;-;-;-;-;9
"110014 Nova Brasilândia D'Oeste";-;-;-;1;-;-;-;-;-;-;-;-;2;3
"110033 Nova Mamoré";-;-;1;2;-;1;3;-;-;1;-;-;-;8
"110143 Nova União";-;-;1;3;1;4;-;-;-;-;-;-;-;9
"110050 Novo Horizonte do Oeste";-;-;-;1;1;-;-;1;-;2;-;1;-;6
"110015 Ouro Preto do Oeste";1;2;6;14;8;2;6;4;1;-;-;1;3;48
"110145 Parecis";-;-;-;5;5;5;8;1;3;5;40;26;-;98
"110018 Pimenta Bueno";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"110020 Porto Velho";-;13;56;20;24;17;21;16;4;-;2;3;21;197
"110025 Presidente Médici";-;1;-;3;2;-;-;-;-;-;1;-;-;7
