DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2020
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130200 Itapiranga";-;-;-;-;-;-;-;-;-;-;-;1;1
"130230 Jutaí";-;33;19;2;8;2;-;-;-;-;-;-;64
"130240 Lábrea";1;-;-;-;1;-;-;-;-;-;-;-;2
"130250 Manacapuru";-;-;-;-;-;-;1;-;-;-;-;-;1
"130260 Manaus";42;93;88;43;53;76;60;45;11;12;34;63;620
"130270 Manicoré";-;-;1;-;-;-;-;-;-;-;-;-;1
"130340 Parintins";1;5;-;9;1;-;-;1;1;2;-;-;20
"130353 Presidente Figueiredo";3;11;11;1;1;4;26;12;2;4;-;2;77
"130356 Rio Preto da Eva";-;-;-;-;-;-;-;1;-;-;-;-;1
"130360 Santa Isabel do Rio Negro";-;-;7;9;18;1;-;-;-;-;-;-;35
"130370 Santo Antônio do Içá";1;6;-;-;-;-;-;-;-;-;6;13;26
"130380 São Gabriel da Cachoeira";356;144;120;93;11;6;3;5;-;1;1;66;806
"130390 São Paulo de Olivença";2;-;-;-;-;-;-;-;-;-;-;-;2
"130406 Tabatinga";33;25;3;16;5;-;-;1;1;-;-;7;91
"130420 Tefé";2;2;1;2;-;-;-;4;-;3;-;-;14
"140005 Alto Alegre";2;2;-;-;-;-;-;-;-;-;-;-;4
"140002 Amajari";1;1;-;1;-;-;-;1;-;-;-;-;4
"140010 Boa Vista";104;99;14;3;1;-;2;1;4;-;1;13;242
"140015 Bonfim";-;1;-;-;-;-;-;2;-;-;-;1;4
"140017 Cantá";17;3;2;1;-;-;-;-;-;-;-;8;31
"140020 Caracaraí";13;15;6;-;1;2;3;3;-;-;1;3;47
"140023 Caroebe";1;-;-;-;-;-;-;-;-;-;1;1;3
"140028 Iracema";-;-;-;-;-;-;-;-;-;-;-;1;1
"140030 Mucajaí";2;-;2;-;-;-;-;-;-;-;-;-;4
"140040 Normandia";9;7;11;2;-;-;1;-;-;-;-;-;30
"140045 Pacaraima";-;-;-;-;-;-;-;-;-;-;-;1;1
"140047 Rorainópolis";3;1;-;1;-;2;4;1;1;-;-;4;17
"140050 São João da Baliza";-;-;-;-;-;-;-;-;-;-;-;1;1
"140060 São Luiz";-;1;-;-;1;-;-;-;1;-;-;-;3
"140070 Uiramutã";18;9;-;-;-;-;-;-;-;-;-;1;28
"150010 Abaetetuba";-;1;1;-;-;-;-;-;-;-;-;-;2
"150030 Afuá";-;-;1;-;-;-;-;-;-;-;-;-;1
"150034 Água Azul do Norte";2;-;-;-;-;-;-;-;-;-;-;-;2
"150040 Alenquer";5;9;8;7;6;-;-;-;-;-;-;-;35
"150050 Almeirim";-;-;-;-;1;-;-;-;-;-;-;-;1
"150060 Altamira";85;25;20;3;4;3;1;1;5;3;3;7;160
"150080 Ananindeua";1;-;-;1;-;-;-;-;-;-;-;-;2
"150085 Anapu";1;1;3;2;-;-;-;-;-;-;-;-;7
"150090 Augusto Corrêa";-;-;2;-;-;-;-;-;-;-;-;-;2
"150125 Bannach";8;17;5;-;-;1;2;2;2;-;4;7;48
"150130 Barcarena";-;1;-;-;-;-;-;-;2;-;-;-;3
"150140 Belém";4;6;-;1;-;1;-;1;-;-;2;2;17
"150145 Belterra";-;-;-;-;6;-;-;-;-;-;-;-;6
"150172 Brasil Novo";2;2;17;5;-;-;1;-;-;-;-;-;27
