DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2019
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"110001 Alta Floresta D'Oeste";194;-;-;-;-;194
"110037 Alto Alegre dos Parecis";33;-;-;-;-;33
"110040 Alto Paraíso";3;-;-;-;-;3
"110002 Ariquemes";29;-;-;-;-;29
"110045 Buritis";29;-;-;-;-;29
"110003 Cabixi";78;-;-;-;-;78
"110004 Cacoal";24;-;-;-;-;24
"110070 Campo Novo de Rondônia";5;-;-;-;-;5
"110080 Candeias do Jamari";4;-;-;-;-;4
"110005 Cerejeiras";14;-;-;-;-;14
"110006 Colorado do Oeste";1;-;-;-;-;1
"110007 Corumbiara";4;-;-;-;-;4
"110008 Costa Marques";1;-;-;-;-;1
"110094 Cujubim";1;-;-;-;-;1
"110009 Espigão D'Oeste";9;-;-;-;-;9
"110100 Governador Jorge Teixeira";1;-;-;-;-;1
"110110 Itapuã do Oeste";4;-;-;-;-;4
"110011 Jaru";6;-;-;-;-;6
"110012 Ji-Paraná";8;-;-;-;-;8
"110013 Machadinho D'Oeste";1;-;-;-;-;1
"110140 Monte Negro";10;-;-;-;-;10
"110014 Nova Brasilândia D'Oeste";20;-;-;-;-;20
"110033 Nova Mamoré";25;-;-;-;-;25
"110050 Novo Horizonte do Oeste";1;-;-;-;-;1
"110015 Ouro Preto do Oeste";5;-;-;-;-;5
"110018 Pimenta Bueno";2;-;-;-;-;2
"110146 Pimenteiras do Oeste";4;-;-;-;-;4
"110020 Porto Velho";144;14;3;-;-;161
"110025 Presidente Médici";2;-;-;-;-;2
"110028 Rolim de Moura";4;-;-;-;-;4
"110148 São Felipe D'Oeste";2;-;-;-;-;2
"110149 São Francisco do Guaporé";7;-;-;-;-;7
"110032 São Miguel do Guaporé";1;-;-;-;-;1
"110175 Vale do Anari";1;-;-;-;-;1
"110180 Vale do Paraíso";3;-;-;-;-;3
"110030 Vilhena";11;-;-;-;-;11
"120001 Acrelândia";7;-;-;-;-;7
"120005 Assis Brasil";67;-;-;-;-;67
"120010 Brasiléia";5;-;-;-;-;5
"120013 Bujari";3;-;-;-;-;3
"120017 Capixaba";13;-;-;-;-;13
"120020 Cruzeiro do Sul";2713;-;-;-;-;2713
"120025 Epitaciolândia";8;-;-;-;-;8
"120030 Feijó";1;-;-;-;-;1
"120033 Mâncio Lima";295;-;-;-;-;295
"120034 Manoel Urbano";1;-;-;-;-;1
"120035 Marechal Thaumaturgo";2;-;-;-;-;2
"120038 Plácido de Castro";2;-;-;-;-;2
"120080 Porto Acre";12;-;-;-;-;12
"120040 Rio Branco";1289;-;-;-;-;1289
"120042 Rodrigues Alves";240;-;-;-;-;240
"120050 Sena Madureira";1;-;-;-;-;1
"120045 Senador Guiomard";13;-;-;-;-;13
"120060 Tarauacá";1922;-;-;-;-;1922
"120070 Xapuri";3;-;-;-;-;3
"130002 Alvarães";2;-;-;-;-;2
"130040 Barcelos";1;-;-;-;-;1
"130060 Benjamin Constant";363;-;-;-;-;363
"130070 Boca do Acre";164;-;-;-;-;164
"130100 Carauari";552;29;-;-;-;581
"130120 Coari";1;-;-;-;-;1
"130140 Eirunepé";1;-;-;-;-;1
"130165 Guajará";623;-;-;-;-;623
"130170 Humaitá";59;-;-;-;-;59
"130180 Ipixuna";1;-;-;-;-;1
"130185 Iranduba";2;-;-;-;-;2
"130190 Itacoatiara";21;1;-;-;-;22
"130220 Juruá";1;-;-;-;-;1
"130250 Manacapuru";1;-;-;-;-;1
"130260 Manaus";226;5;3;-;-;234
"130280 Maraã";1;-;-;-;-;1
"130290 Maués";2;-;-;-;-;2
"130320 Novo Airão";7;-;-;-;-;7
"130350 Pauini";1;-;-;-;-;1
"130353 Presidente Figueiredo";39;-;-;-;-;39
"130380 São Gabriel da Cachoeira";785;5;-;-;-;790
"130406 Tabatinga";348;-;-;-;-;348
"130420 Tefé";38;-;-;-;-;38
"130430 Urucará";1;-;-;-;-;1
"140005 Alto Alegre";5;3;-;-;-;8
"140002 Amajari";5;-;-;-;-;5
"140010 Boa Vista";472;40;41;-;1;554
"140015 Bonfim";18;8;1;-;-;27
"140017 Cantá";10;1;-;-;-;11
"140020 Caracaraí";86;2;3;-;-;91
"140023 Caroebe";60;1;-;-;-;61
"140028 Iracema";1;-;-;-;-;1
"140030 Mucajaí";29;2;1;-;-;32
"140040 Normandia";1;-;-;-;-;1
"140045 Pacaraima";-;-;1;-;-;1
"140047 Rorainópolis";6;-;-;-;-;6
"140050 São João da Baliza";3;-;-;-;-;3
"140060 São Luiz";3;-;-;-;-;3
"140070 Uiramutã";8;1;1;-;-;10
"150010 Abaetetuba";7;-;-;-;-;7
"150013 Abel Figueiredo";7;-;-;-;-;7
"150030 Afuá";7;-;-;-;-;7
"150040 Alenquer";2;-;-;-;-;2
"150060 Altamira";8;-;-;-;-;8
"150080 Ananindeua";3;-;-;-;-;3
"150085 Anapu";90;-;-;-;-;90
"150090 Augusto Corrêa";1;-;-;-;-;1
"150095 Aurora do Pará";1;-;-;-;-;1
"150125 Bannach";23;-;-;-;-;23
"150130 Barcarena";5;-;-;-;-;5
"150140 Belém";20;-;-;-;-;20
"150145 Belterra";1;-;-;-;-;1
"150157 Bom Jesus do Tocantins";1;-;-;-;-;1
"150160 Bonito";6;-;-;-;-;6
"150170 Bragança";2;-;-;-;-;2
"150172 Brasil Novo";7;-;-;-;-;7
"150175 Brejo Grande do Araguaia";2;-;-;-;-;2
"150178 Breu Branco";2;-;-;-;-;2
"150180 Breves";1;-;-;-;-;1
"150210 Cametá";2;-;-;-;-;2
"150215 Canaã dos Carajás";30;-;-;-;-;30
"150220 Capanema";7;-;-;-;-;7
"150230 Capitão Poço";2;-;-;-;-;2
"150240 Castanhal";11;-;-;-;-;11
"150270 Conceição do Araguaia";174;-;-;-;-;174
"150276 Cumaru do Norte";7;-;-;-;-;7
"150280 Curralinho";1;-;-;-;-;1
"150293 Dom Eliseu";21;-;-;-;-;21
"150295 Eldorado do Carajás";2;-;-;-;-;2
"150304 Floresta do Araguaia";2;-;-;-;-;2
"150320 Igarapé-Açu";6;-;-;-;-;6
"150345 Ipixuna do Pará";2;-;-;-;-;2
"150350 Irituia";2;-;-;-;-;2
"150360 Itaituba";19;-;-;-;-;19
"150370 Itupiranga";3;-;-;-;-;3
"150375 Jacareacanga";1;-;-;-;-;1
"150380 Jacundá";17;-;-;-;-;17
"150405 Mãe do Rio";13;-;-;-;-;13
"150420 Marabá";36;1;-;-;-;37
"150440 Marapanim";9;-;-;-;-;9
"150442 Marituba";7;-;-;-;-;7
"150445 Medicilândia";4;-;-;-;-;4
"150460 Mocajuba";6;-;-;-;-;6
"150470 Moju";37;-;-;-;-;37
"150480 Monte Alegre";1;-;-;-;-;1
"150495 Nova Esperança do Piriá";4;-;-;-;-;4
"150497 Nova Ipixuna";60;-;-;-;-;60
"150503 Novo Progresso";57;-;-;-;-;57
"150506 Novo Repartimento";109;-;-;-;-;109
"150530 Oriximiná";5;-;-;-;-;5
"150543 Ourilândia do Norte";59;1;-;-;-;60
"150548 Pacajá";61;-;-;-;-;61
"150550 Paragominas";41;-;-;-;-;41
"150553 Parauapebas";798;-;-;-;-;798
"150563 Piçarra";4;-;-;-;-;4
"150570 Ponta de Pedras";1;-;-;-;-;1
"150610 Primavera";1;-;-;-;-;1
"150613 Redenção";10;-;-;-;-;10
"150616 Rio Maria";28;-;-;-;-;28
"150618 Rondon do Pará";15;-;-;-;-;15
"150619 Rurópolis";20;-;-;-;-;20
"150620 Salinópolis";10;-;-;-;-;10
"150635 Santa Bárbara do Pará";5;-;-;-;-;5
"150650 Santa Izabel do Pará";2;-;-;-;-;2
"150655 Santa Luzia do Pará";2;-;-;-;-;2
"150658 Santa Maria das Barreiras";3;-;-;-;-;3
"150670 Santana do Araguaia";59;-;-;-;-;59
"150680 Santarém";14;-;-;2;-;16
"150710 São Caetano de Odivelas";1;-;-;-;-;1
"150715 São Domingos do Araguaia";8;-;-;-;-;8
"150720 São Domingos do Capim";1;-;-;-;-;1
"150730 São Félix do Xingu";61;-;-;-;-;61
"150745 São Geraldo do Araguaia";3;-;-;-;-;3
"150747 São João de Pirabas";4;1;-;-;-;5
"150750 São João do Araguaia";6;-;-;-;-;6
"150760 São Miguel do Guamá";1;-;-;-;-;1
